"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",8,"Cut",21,0.061,43.5,1.29,40.3,54,27,11,17,0.647,0.647,0.143,0.143,0.048,0.095
"2023-24",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",8,"Cut",38,0.097,66.4,0.87,2.4,43,33,15,32,0.469,0.469,0.079,0.079,0.026,0.105
"2023-24",1628371,"Jonathan Isaac",1610612753,"ORL","Orlando Magic",8,"Cut",49,0.14,77.1,1.43,74.6,58,70,30,41,0.732,0.732,0.184,0.184,0.102,0.082
"2023-24",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",8,"Cut",98,0.177,82.2,1.39,66.3,55,136,57,77,0.74,0.74,0.204,0.204,0.061,0.071
"2023-24",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",8,"Cut",164,0.224,86.3,1.51,86.6,80,247,105,135,0.778,0.778,0.183,0.183,0.091,0.085
"2023-24",1629048,"Goga Bitadze",1610612753,"ORL","Orlando Magic",8,"Cut",80,0.275,95.2,1.35,55.7,62,108,45,67,0.672,0.672,0.163,0.213,0.088,0.038
"2023-24",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",8,"Cut",22,0.022,8.2,1.27,37,81,28,13,19,0.684,0.684,0.045,0.045,0,0.091
"2023-24",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",8,"Cut",92,0.067,46.9,1.38,64.7,72,127,55,80,0.688,0.688,0.076,0.098,0.011,0.043
"2023-24",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",8,"Cut",51,0.056,40.4,1.31,45.9,75,67,29,42,0.69,0.69,0.157,0.157,0.039,0.059
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",8,"Cut",83,0.043,27.4,1.28,38.4,80,106,43,66,0.652,0.652,0.169,0.205,0.036,0.036
"2023-24",1641710,"Anthony Black",1610612753,"ORL","Orlando Magic",8,"Cut",38,0.113,72.9,1.24,33.6,69,47,18,28,0.643,0.643,0.211,0.211,0.053,0.105
"2022-23",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",8,"Cut",12,0.035,22.3,1.83,99.2,48,22,9,10,0.9,0.9,0.167,0.167,0,0
"2022-23",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",8,"Cut",44,0.05,36.9,1.41,72.6,60,62,29,39,0.744,0.744,0.045,0.045,0,0.068
"2022-23",1628964,"Mo Bamba",1610612753,"ORL","Orlando Magic",8,"Cut",32,0.125,70,1.44,78.7,40,46,21,28,0.75,0.75,0.094,0.125,0.063,0.063
"2022-23",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",8,"Cut",97,0.12,68.6,1.22,33.1,57,118,50,73,0.685,0.685,0.134,0.144,0.021,0.124
"2022-23",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",8,"Cut",85,0.157,75.7,1.42,75.7,57,121,43,62,0.694,0.694,0.282,0.282,0.047,0.035
"2022-23",1629048,"Goga Bitadze",1610612753,"ORL","Orlando Magic",8,"Cut",16,0.176,79.4,1.25,40.7,17,20,9,13,0.692,0.692,0.063,0.063,0,0.125
"2022-23",1629626,"Bol Bol",1610612753,"ORL","Orlando Magic",8,"Cut",42,0.066,46.6,1.64,96.1,70,69,33,40,0.825,0.825,0.071,0.071,0.048,0.024
"2022-23",1629678,"Admiral Schofield",1610612753,"ORL","Orlando Magic",8,"Cut",10,0.068,48,1.2,29.2,38,12,6,8,0.75,0.75,0,0,0,0.2
"2022-23",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",8,"Cut",14,0.018,7.7,1.79,98.1,60,25,9,11,0.818,0.818,0.286,0.286,0.071,0
"2022-23",1630284,"Kevon Harris",1610612753,"ORL","Orlando Magic",8,"Cut",15,0.104,63.7,1.33,56.3,34,20,7,12,0.583,0.583,0.267,0.267,0.133,0.067
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",8,"Cut",80,0.056,40.9,1.49,86.5,80,119,46,62,0.742,0.742,0.213,0.238,0.05,0.038
"2022-23",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",8,"Cut",21,0.036,23.1,1.1,18.2,53,23,7,14,0.5,0.5,0.238,0.286,0.048,0.095
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",8,"Cut",70,0.045,32,1.09,16.3,72,76,27,51,0.529,0.529,0.2,0.2,0.014,0.086
