"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",7,"Handoff",36,0.104,88.2,1.06,75.4,54,38,15,31,0.484,0.597,0.056,0.083,0.028,0.083
"2023-24",204060,"Joe Ingles",1610612753,"ORL","Orlando Magic",7,"Handoff",28,0.092,84.6,0.57,7.9,68,16,6,22,0.273,0.318,0.036,0.036,0,0.179
"2023-24",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",7,"Handoff",19,0.049,41.4,0.95,53.8,43,18,8,18,0.444,0.444,0.053,0.053,0,0
"2023-24",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",7,"Handoff",54,0.055,48.9,1.15,86.4,81,62,18,38,0.474,0.632,0.13,0.148,0,0.148
"2023-24",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",7,"Handoff",78,0.057,52.1,1.03,71.1,72,80,27,60,0.45,0.5,0.154,0.154,0.026,0.103
"2023-24",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",7,"Handoff",46,0.05,42.5,1.04,74.3,75,48,17,41,0.415,0.561,0.022,0.022,0,0.087
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",7,"Handoff",43,0.023,8.6,0.67,16.1,80,29,11,34,0.324,0.382,0.047,0.07,0,0.14
"2023-24",1631216,"Caleb Houstan",1610612753,"ORL","Orlando Magic",7,"Handoff",12,0.052,45.4,0.58,8.6,60,7,3,8,0.375,0.438,0,0,0,0.333
"2023-24",1641710,"Anthony Black",1610612753,"ORL","Orlando Magic",7,"Handoff",12,0.036,22.5,0.67,14.8,69,8,2,8,0.25,0.375,0.167,0.167,0,0.167
"2022-23",203082,"Terrence Ross",1610612753,"ORL","Orlando Magic",7,"Handoff",63,0.184,98.6,0.67,10.2,42,42,20,54,0.37,0.37,0.016,0.016,0,0.127
"2022-23",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",7,"Handoff",45,0.13,95,0.82,29,48,37,13,39,0.333,0.41,0.044,0.044,0,0.089
"2022-23",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",7,"Handoff",28,0.032,15.1,0.79,25.8,60,22,8,22,0.364,0.386,0.107,0.107,0.036,0.143
"2022-23",1629626,"Bol Bol",1610612753,"ORL","Orlando Magic",7,"Handoff",30,0.047,34.8,0.6,5,70,18,7,20,0.35,0.375,0.133,0.133,0,0.2
"2022-23",1629643,"Chuma Okeke",1610612753,"ORL","Orlando Magic",7,"Handoff",21,0.142,97.1,0.57,3.2,28,12,4,18,0.222,0.278,0.048,0.048,0,0.095
"2022-23",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",7,"Handoff",52,0.068,60.2,0.92,47.5,60,48,18,48,0.375,0.427,0.077,0.096,0.058,0.038
"2022-23",1630181,"R.J. Hampton",1610612753,"ORL","Orlando Magic",7,"Handoff",12,0.08,73.1,0.67,10.2,26,8,4,11,0.364,0.364,0,0,0,0.083
"2022-23",1630284,"Kevon Harris",1610612753,"ORL","Orlando Magic",7,"Handoff",11,0.076,69.2,1,60.9,34,11,4,9,0.444,0.444,0.273,0.273,0.091,0
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",7,"Handoff",131,0.092,80.3,0.85,36.4,80,112,39,110,0.355,0.395,0.092,0.107,0.023,0.076
"2022-23",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",7,"Handoff",44,0.075,68.5,1.11,78.2,53,49,18,39,0.462,0.603,0.045,0.045,0.045,0.114
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",7,"Handoff",50,0.032,15.1,0.86,37.9,72,43,15,36,0.417,0.458,0.16,0.16,0.02,0.14
