"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",1,"Isolation",14,0.036,25,0.86,37.2,43,12,6,13,0.462,0.462,0,0,0,0.071
"2023-24",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",1,"Isolation",19,0.026,13.9,0.79,27,80,15,3,11,0.273,0.273,0.263,0.263,0,0.158
"2023-24",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",1,"Isolation",80,0.082,68.9,1.04,73.8,81,83,33,66,0.5,0.523,0.088,0.1,0.013,0.088
"2023-24",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",1,"Isolation",122,0.089,73,1,67.7,72,122,47,97,0.485,0.515,0.098,0.107,0.008,0.107
"2023-24",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",1,"Isolation",39,0.043,31.6,1.15,90.2,75,45,17,31,0.548,0.645,0.103,0.128,0.051,0.128
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",1,"Isolation",284,0.149,91.8,0.89,45.5,80,254,94,210,0.448,0.462,0.155,0.158,0.028,0.13
"2023-24",1641710,"Anthony Black",1610612753,"ORL","Orlando Magic",1,"Isolation",11,0.033,21.7,0.82,31.1,69,9,3,9,0.333,0.389,0,0.091,0,0.091
"2022-23",203082,"Terrence Ross",1610612753,"ORL","Orlando Magic",1,"Isolation",12,0.035,19.5,0.83,36.8,42,10,5,11,0.455,0.455,0.083,0.083,0.083,0.083
"2022-23",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",1,"Isolation",48,0.055,45,1.02,72.7,60,49,21,38,0.553,0.553,0.083,0.083,0,0.125
"2022-23",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",1,"Isolation",36,0.045,31.9,0.86,42.7,57,31,11,27,0.407,0.407,0.167,0.194,0.028,0.083
"2022-23",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",1,"Isolation",60,0.078,64.9,0.68,15,60,41,11,42,0.262,0.286,0.167,0.167,0,0.133
"2022-23",1630284,"Kevon Harris",1610612753,"ORL","Orlando Magic",1,"Isolation",10,0.069,59.4,0.7,17.7,34,7,3,7,0.429,0.429,0.1,0.1,0,0.2
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",1,"Isolation",91,0.064,54.2,0.69,16.3,80,63,26,78,0.333,0.359,0.044,0.044,0.011,0.11
"2022-23",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",1,"Isolation",37,0.063,53,0.73,20.5,53,27,12,30,0.4,0.4,0.081,0.081,0.027,0.135
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",1,"Isolation",233,0.15,91.2,0.85,40.6,72,198,64,167,0.383,0.407,0.206,0.215,0.047,0.112
