"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",11,"Misc",12,0.035,15.4,0.75,84.2,54,9,1,4,0.25,0.25,0,0.333,0,0.333
"2023-24",204060,"Joe Ingles",1610612753,"ORL","Orlando Magic",11,"Misc",28,0.092,86.8,0.11,1.8,68,3,0,4,0,0,0,0.071,0,0.786
"2023-24",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",11,"Misc",16,0.041,26.2,0.25,9.7,43,4,1,5,0.2,0.2,0,0.125,0,0.563
"2023-24",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",11,"Misc",49,0.088,84.3,0.51,52.3,55,25,2,2,1,1,0.041,0.347,0.02,0.633
"2023-24",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",11,"Misc",51,0.07,72,0.35,24.6,80,18,6,11,0.545,0.545,0.02,0.078,0,0.706
"2023-24",1629048,"Goga Bitadze",1610612753,"ORL","Orlando Magic",11,"Misc",40,0.137,96.9,0.42,38.2,62,17,3,5,0.6,0.6,0,0.225,0,0.65
"2023-24",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",11,"Misc",40,0.041,26.2,0.72,81.8,81,29,5,13,0.385,0.385,0.075,0.275,0.025,0.425
"2023-24",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",11,"Misc",54,0.039,21.8,1.04,98.8,72,56,11,21,0.524,0.571,0.056,0.333,0,0.278
"2023-24",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",11,"Misc",58,0.063,65.5,0.5,49.4,75,29,4,20,0.2,0.275,0,0.207,0,0.448
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",11,"Misc",58,0.03,7.4,0.55,60,80,32,5,13,0.385,0.423,0.069,0.259,0.017,0.534
"2023-24",1641710,"Anthony Black",1610612753,"ORL","Orlando Magic",11,"Misc",19,0.057,56.3,0.47,45.5,69,9,1,2,0.5,0.5,0.053,0.316,0,0.579
"2022-23",203082,"Terrence Ross",1610612753,"ORL","Orlando Magic",11,"Misc",13,0.038,11.1,0,0,42,0,0,5,0,0,0,0,0,0.615
"2022-23",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",11,"Misc",15,0.043,24.9,0.67,74.9,48,10,2,5,0.4,0.5,0,0.2,0,0.467
"2022-23",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",11,"Misc",78,0.089,81.2,0.54,56.6,60,42,8,25,0.32,0.32,0.013,0.218,0,0.462
"2022-23",1628964,"Mo Bamba",1610612753,"ORL","Orlando Magic",11,"Misc",13,0.051,40.1,0.23,9.3,40,3,0,1,0,0,0,0.231,0,0.692
"2022-23",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",11,"Misc",70,0.087,80.5,0.6,65.2,57,42,6,9,0.667,0.722,0.057,0.3,0.029,0.6
"2022-23",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",11,"Misc",48,0.089,81.2,0.52,51,57,25,4,5,0.8,0.8,0.063,0.208,0.021,0.708
"2022-23",1629626,"Bol Bol",1610612753,"ORL","Orlando Magic",11,"Misc",41,0.064,62,0.63,70.1,70,26,10,17,0.588,0.618,0.024,0.098,0.024,0.512
"2022-23",1629678,"Admiral Schofield",1610612753,"ORL","Orlando Magic",11,"Misc",15,0.102,88.4,0.93,95.2,38,14,2,3,0.667,0.833,0.067,0.333,0,0.467
"2022-23",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",11,"Misc",22,0.029,2.3,0.68,76.6,60,15,3,6,0.5,0.583,0,0.182,0,0.545
"2022-23",1630284,"Kevon Harris",1610612753,"ORL","Orlando Magic",11,"Misc",14,0.097,85.9,0.64,71.9,34,9,1,3,0.333,0.5,0,0.286,0,0.5
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",11,"Misc",67,0.047,33.2,0.67,75.6,80,45,9,24,0.375,0.417,0.03,0.269,0.015,0.388
"2022-23",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",11,"Misc",41,0.069,67.4,0.39,29.1,53,16,2,9,0.222,0.222,0.024,0.244,0.024,0.561
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",11,"Misc",83,0.053,43.4,0.8,88.7,72,66,13,31,0.419,0.452,0.096,0.277,0.036,0.386
"2022-23",1631216,"Caleb Houstan",1610612753,"ORL","Orlando Magic",11,"Misc",17,0.082,78.1,0.53,53.3,51,9,2,9,0.222,0.278,0,0.176,0,0.294
