"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",9,"Off Screens",35,0.101,87,0.91,37.2,54,32,11,29,0.379,0.431,0.057,0.114,0,0.057
"2023-24",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",9,"Off Screens",32,0.033,38,0.78,15.5,81,25,9,27,0.333,0.407,0.063,0.063,0.031,0.125
"2023-24",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",9,"Off Screens",46,0.034,40.5,0.89,32.5,72,41,16,39,0.41,0.41,0.109,0.109,0.022,0.065
"2023-24",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",9,"Off Screens",26,0.028,26.5,0.92,39.5,75,24,9,20,0.45,0.6,0,0,0,0.231
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",9,"Off Screens",33,0.017,9.5,0.97,45,80,32,10,23,0.435,0.478,0.182,0.182,0,0.121
"2023-24",1631216,"Caleb Houstan",1610612753,"ORL","Orlando Magic",9,"Off Screens",20,0.087,80,1,50,60,20,6,18,0.333,0.5,0.05,0.05,0,0.05
"2022-23",203082,"Terrence Ross",1610612753,"ORL","Orlando Magic",9,"Off Screens",46,0.134,92.4,0.89,31.7,42,41,15,43,0.349,0.442,0.065,0.065,0.043,0.043
"2022-23",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",9,"Off Screens",35,0.101,84.9,1.14,79.2,48,40,14,33,0.424,0.606,0,0,0,0.057
"2022-23",1629626,"Bol Bol",1610612753,"ORL","Orlando Magic",9,"Off Screens",12,0.019,12.4,0.75,15.1,70,9,4,11,0.364,0.364,0.083,0.083,0.083,0.083
"2022-23",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",9,"Off Screens",16,0.021,16.9,1,60.6,60,16,6,13,0.462,0.5,0.125,0.125,0,0.063
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",9,"Off Screens",55,0.039,36.9,1.22,86.8,80,67,26,46,0.565,0.663,0.036,0.073,0.018,0.109
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",9,"Off Screens",34,0.022,18.7,0.74,13.7,72,25,10,30,0.333,0.35,0.059,0.088,0,0.029
"2022-23",1631216,"Caleb Houstan",1610612753,"ORL","Orlando Magic",9,"Off Screens",11,0.053,52.4,1.36,96.5,51,15,5,9,0.556,0.722,0.091,0.091,0,0.091
