"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",12,0.035,8.1,1.5,99.7,54,18,6,9,0.667,0.889,0,0.083,0,0.167
"2023-24",204060,"Joe Ingles",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",82,0.271,70.1,0.56,9.1,68,46,17,47,0.362,0.404,0.037,0.061,0.012,0.378
"2023-24",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",98,0.251,66.2,0.8,36,43,78,38,80,0.475,0.475,0.041,0.041,0.01,0.153
"2023-24",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",320,0.327,81.5,0.83,44.2,81,265,100,239,0.418,0.431,0.097,0.116,0.016,0.153
"2023-24",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",359,0.262,68.8,0.93,69.8,72,334,127,273,0.465,0.487,0.128,0.134,0.031,0.136
"2023-24",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",143,0.156,46.8,0.8,37,75,114,44,107,0.411,0.486,0.042,0.049,0.014,0.217
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",519,0.272,70.5,0.83,45.1,80,432,156,393,0.397,0.439,0.121,0.133,0.025,0.135
"2023-24",1641710,"Anthony Black",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",46,0.137,42.2,0.61,12.4,69,28,10,30,0.333,0.35,0.152,0.152,0.022,0.217
"2022-23",203082,"Terrence Ross",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",63,0.184,48.6,1.06,89.8,42,67,27,49,0.551,0.602,0.048,0.063,0,0.159
"2022-23",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",27,0.078,24.1,1,80.9,48,27,10,24,0.417,0.458,0.111,0.111,0.037,0.037
"2022-23",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",273,0.311,76.8,0.89,54.8,60,244,107,210,0.51,0.517,0.077,0.081,0.018,0.168
"2022-23",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",11,0.014,1,0.82,38.2,57,9,3,8,0.375,0.375,0.182,0.182,0,0.091
"2022-23",1629626,"Bol Bol",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",55,0.086,26.3,0.73,24.6,70,40,15,37,0.405,0.432,0.091,0.091,0.018,0.255
"2022-23",1629643,"Chuma Okeke",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",11,0.074,23.2,0.45,2.5,28,5,2,8,0.25,0.313,0,0,0,0.273
"2022-23",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",289,0.377,91.4,1.02,84.3,60,295,116,229,0.507,0.539,0.093,0.104,0.021,0.125
"2022-23",1630181,"R.J. Hampton",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",36,0.24,60,0.92,61.6,26,33,9,23,0.391,0.457,0.167,0.194,0.028,0.194
"2022-23",1630284,"Kevon Harris",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",11,0.076,23.8,0.55,5.9,34,6,1,7,0.143,0.143,0.182,0.182,0,0.182
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",420,0.296,73,0.9,58.2,80,380,156,321,0.486,0.519,0.064,0.069,0.005,0.171
"2022-23",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",135,0.229,57.8,0.89,53.7,53,120,47,98,0.48,0.566,0.044,0.067,0.015,0.222
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",3,"PnR Ball-Handler",347,0.223,56.5,0.85,47.7,72,296,105,256,0.41,0.441,0.147,0.159,0.037,0.141
