"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",17,0.049,42.8,1,30.3,54,17,6,15,0.4,0.567,0,0,0,0.118
"2023-24",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",14,0.036,34.4,1.07,43.8,43,15,7,12,0.583,0.583,0.071,0.071,0.071,0.143
"2023-24",1628371,"Jonathan Isaac",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",32,0.091,58.4,1.16,54.4,58,37,15,25,0.6,0.62,0.156,0.156,0,0.063
"2023-24",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",100,0.18,77.2,1.03,38,55,103,41,80,0.512,0.55,0.11,0.12,0.01,0.09
"2023-24",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",173,0.237,90.4,1.33,79.2,80,230,85,132,0.644,0.667,0.22,0.225,0.075,0.087
"2023-24",1629048,"Goga Bitadze",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",46,0.158,71.6,1.15,53.6,62,53,22,32,0.688,0.688,0.174,0.174,0.022,0.152
"2023-24",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",20,0.02,15.2,0.8,12,81,16,6,18,0.333,0.361,0.05,0.1,0,0
"2023-24",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",19,0.014,8,1.26,69.4,72,24,9,15,0.6,0.733,0.105,0.105,0.053,0.158
"2023-24",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",29,0.032,30.4,1.03,38.4,75,30,12,25,0.48,0.56,0.069,0.069,0.034,0.103
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",94,0.049,42.8,0.95,24,80,89,31,72,0.431,0.479,0.149,0.149,0.021,0.106
"2023-24",1631216,"Caleb Houstan",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",16,0.069,52,0.88,16.8,60,14,4,15,0.267,0.4,0.063,0.063,0,0
"2022-23",1628964,"Mo Bamba",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",60,0.233,88.3,1.28,78.3,40,77,26,49,0.531,0.653,0.167,0.167,0.07,0.083
"2022-23",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",149,0.185,77.4,1.11,47.8,57,165,68,128,0.531,0.59,0.067,0.067,0.01,0.081
"2022-23",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",99,0.183,76.2,1.1,46.7,57,109,37,75,0.493,0.54,0.202,0.202,0.05,0.091
"2022-23",1629048,"Goga Bitadze",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",15,0.165,72.5,1.07,41,17,16,8,15,0.533,0.533,0,0,0,0
"2022-23",1629626,"Bol Bol",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",30,0.047,40.4,1.1,46.4,70,33,14,25,0.56,0.58,0.1,0.1,0.03,0.1
"2022-23",1629678,"Admiral Schofield",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",19,0.129,64.2,1.26,74.2,38,24,10,17,0.588,0.676,0.053,0.053,0,0.053
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",31,0.022,21.1,1.23,67.4,80,38,13,26,0.5,0.538,0.194,0.226,0.1,0.032
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",4,"PnR Roll Man",56,0.036,33.6,0.89,21.7,72,50,14,40,0.35,0.388,0.196,0.196,0,0.089
