"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",5,"Postup",26,0.066,50.3,0.77,13.2,43,20,10,25,0.4,0.4,0.038,0.038,0.038,0.038
"2023-24",1628371,"Jonathan Isaac",1610612753,"ORL","Orlando Magic",5,"Postup",10,0.029,14.6,0.7,9.3,58,7,3,9,0.333,0.333,0.1,0.1,0,0
"2023-24",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",5,"Postup",28,0.05,35.1,0.89,26,55,25,9,20,0.45,0.45,0.107,0.143,0,0.143
"2023-24",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",5,"Postup",46,0.063,47,0.91,36.7,80,42,19,41,0.463,0.463,0.087,0.087,0.043,0.065
"2023-24",1629048,"Goga Bitadze",1610612753,"ORL","Orlando Magic",5,"Postup",19,0.065,49,0.89,28.7,62,17,5,11,0.455,0.455,0.263,0.316,0,0.105
"2023-24",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",5,"Postup",50,0.037,25.8,0.92,39.1,72,46,16,34,0.471,0.471,0.18,0.2,0.06,0.18
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",5,"Postup",198,0.104,75.5,0.91,37.7,80,181,63,142,0.444,0.444,0.177,0.197,0.035,0.121
"2022-23",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",5,"Postup",38,0.043,29,0.95,47.9,60,36,17,31,0.548,0.548,0.053,0.053,0.026,0.158
"2022-23",1628964,"Mo Bamba",1610612753,"ORL","Orlando Magic",5,"Postup",19,0.074,56.8,0.79,16.8,40,15,6,14,0.429,0.429,0.105,0.105,0,0.158
"2022-23",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",5,"Postup",54,0.067,48.8,0.89,34.7,57,48,18,35,0.514,0.514,0.093,0.185,0.019,0.185
"2022-23",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",5,"Postup",28,0.052,38.9,1.29,97,57,36,10,16,0.625,0.625,0.321,0.357,0.071,0.143
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",5,"Postup",27,0.019,8.6,1.15,86.2,80,31,9,17,0.529,0.529,0.259,0.333,0.074,0.111
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",5,"Postup",110,0.071,53.1,0.96,52.7,72,106,41,80,0.513,0.513,0.155,0.164,0.018,0.127
