"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",10,"Putbacks",29,0.074,61.1,0.93,23.9,43,27,12,26,0.462,0.462,0.069,0.069,0.034,0.069
"2023-24",1628371,"Jonathan Isaac",1610612753,"ORL","Orlando Magic",10,"Putbacks",61,0.174,88.1,1.23,73.4,58,75,32,52,0.615,0.615,0.164,0.164,0.049,0.033
"2023-24",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",10,"Putbacks",31,0.032,27.6,0.97,27,81,30,12,26,0.462,0.5,0.065,0.097,0,0.065
"2023-24",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",10,"Putbacks",44,0.032,27.6,1.39,93.2,72,61,20,33,0.606,0.621,0.273,0.273,0.068,0.045
"2023-24",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",10,"Putbacks",22,0.024,17.4,1,30.9,75,22,6,14,0.429,0.429,0.182,0.273,0,0.091
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",10,"Putbacks",57,0.03,25.6,1,30.9,80,57,23,47,0.489,0.489,0.123,0.14,0.018,0.053
"2023-24",1641710,"Anthony Black",1610612753,"ORL","Orlando Magic",10,"Putbacks",16,0.048,40.6,1,30.9,69,16,7,12,0.583,0.583,0.063,0.125,0,0.125
"2022-23",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",10,"Putbacks",31,0.035,32.4,1.26,74,60,39,18,28,0.643,0.661,0,0.03,0,0.065
"2022-23",1628371,"Jonathan Isaac",1610612753,"ORL","Orlando Magic",10,"Putbacks",14,0.23,93.8,1.14,53.9,11,16,7,12,0.583,0.583,0.143,0.14,0.071,0.071
"2022-23",1628964,"Mo Bamba",1610612753,"ORL","Orlando Magic",10,"Putbacks",32,0.125,78.7,1.03,35.4,40,33,13,26,0.5,0.5,0.156,0.19,0.031,0.031
"2022-23",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",10,"Putbacks",89,0.11,73.1,1.44,92,57,128,47,67,0.701,0.701,0.27,0.28,0.079,0.045
"2022-23",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",10,"Putbacks",38,0.07,59.6,1.11,47.6,57,42,15,28,0.536,0.536,0.211,0.21,0.053,0.105
"2022-23",1629048,"Goga Bitadze",1610612753,"ORL","Orlando Magic",10,"Putbacks",27,0.297,98.8,1.41,89,17,38,16,22,0.727,0.727,0.222,0.22,0.074,0.037
"2022-23",1629626,"Bol Bol",1610612753,"ORL","Orlando Magic",10,"Putbacks",60,0.094,68.2,1.53,96.7,70,92,44,54,0.815,0.815,0.067,0.08,0.017,0.033
"2022-23",1629643,"Chuma Okeke",1610612753,"ORL","Orlando Magic",10,"Putbacks",10,0.068,58.3,1.7,99.4,28,17,6,7,0.857,1,0.2,0.2,0,0.1
"2022-23",1629678,"Admiral Schofield",1610612753,"ORL","Orlando Magic",10,"Putbacks",13,0.088,65.7,1.15,55.4,38,15,7,13,0.538,0.577,0,0,0,0
"2022-23",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",10,"Putbacks",21,0.027,24.4,1.05,38.3,60,22,9,18,0.5,0.5,0.143,0.14,0.048,0.048
"2022-23",1630284,"Kevon Harris",1610612753,"ORL","Orlando Magic",10,"Putbacks",16,0.111,74.4,1.06,40.2,34,17,6,11,0.545,0.545,0.25,0.25,0.063,0.125
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",10,"Putbacks",37,0.026,22.8,0.97,28,80,36,14,31,0.452,0.468,0.108,0.14,0.027,0.054
"2022-23",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",10,"Putbacks",28,0.047,40.7,1.04,36.3,53,29,9,18,0.5,0.5,0.25,0.25,0.036,0.143
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",10,"Putbacks",52,0.033,29.6,1.08,43.2,72,56,21,39,0.538,0.551,0.154,0.17,0,0.077
"2022-23",1631216,"Caleb Houstan",1610612753,"ORL","Orlando Magic",10,"Putbacks",21,0.101,70.1,0.67,5.1,51,14,6,16,0.375,0.375,0.048,0.05,0,0.19
