"SEASON","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABB","TEAM_NAME","INDEX","PLAY_TYPE","POSS","FREQ","FREQ_PCTL","PPP","PPP_PCTL","GP","PTS","FGM","FGA","FG_PCT","EFG_PCT","SF_FREQ","FTA_FREQ","AND1_FREQ","TOV_FREQ"
"2023-24",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",6,"Spotup",140,0.406,77.5,1.09,64.5,54,153,54,129,0.419,0.581,0.021,0.021,0,0.057
"2023-24",204060,"Joe Ingles",1610612753,"ORL","Orlando Magic",6,"Spotup",99,0.327,58.2,1.36,97.7,68,135,46,93,0.495,0.715,0.01,0.01,0,0.051
"2023-24",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",6,"Spotup",67,0.171,18.8,0.87,21.7,43,58,25,60,0.417,0.45,0.03,0.045,0.015,0.075
"2023-24",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",6,"Spotup",144,0.259,38.4,1.06,56.7,55,153,53,135,0.393,0.559,0.007,0.007,0,0.056
"2023-24",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",6,"Spotup",136,0.186,21.9,1.17,81.7,80,159,53,115,0.461,0.587,0.103,0.118,0.029,0.066
"2023-24",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",6,"Spotup",212,0.216,27.7,1.09,63.4,81,231,81,192,0.422,0.568,0.038,0.042,0.019,0.071
"2023-24",1630243,"Trevelin Queen",1610612753,"ORL","Orlando Magic",6,"Spotup",15,0.3,48.6,0.33,0.8,14,5,2,14,0.143,0.143,0.067,0.067,0.067,0.067
"2023-24",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",6,"Spotup",270,0.295,47.8,1.09,61.9,75,293,98,243,0.403,0.574,0.044,0.048,0.011,0.063
"2023-24",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",6,"Spotup",240,0.126,12.5,1.03,49.2,80,248,82,199,0.412,0.528,0.104,0.113,0.021,0.079
"2023-24",1631216,"Caleb Houstan",1610612753,"ORL","Orlando Magic",6,"Spotup",118,0.511,95,1.15,77.8,60,136,44,110,0.4,0.595,0.017,0.017,0,0.051
"2023-24",1641710,"Anthony Black",1610612753,"ORL","Orlando Magic",6,"Spotup",119,0.354,64.2,0.92,29,69,110,38,102,0.373,0.51,0.034,0.034,0,0.109
"2022-23",203082,"Terrence Ross",1610612753,"ORL","Orlando Magic",6,"Spotup",101,0.294,53.5,1.14,76.7,42,115,40,95,0.421,0.6,0.02,0.02,0.01,0.05
"2022-23",203914,"Gary Harris",1610612753,"ORL","Orlando Magic",6,"Spotup",122,0.353,71.3,1.19,84.7,48,145,49,116,0.422,0.603,0.016,0.025,0.008,0.033
"2022-23",1628365,"Markelle Fultz",1610612753,"ORL","Orlando Magic",6,"Spotup",153,0.174,21.7,0.9,24.9,60,138,55,137,0.401,0.471,0.039,0.052,0.02,0.072
"2022-23",1628371,"Jonathan Isaac",1610612753,"ORL","Orlando Magic",6,"Spotup",10,0.164,19.7,0.9,24.2,11,9,3,10,0.3,0.45,0,0,0,0
"2022-23",1628964,"Mo Bamba",1610612753,"ORL","Orlando Magic",6,"Spotup",59,0.23,34.9,1.05,58.7,40,62,20,56,0.357,0.536,0.017,0.034,0,0.017
"2022-23",1628976,"Wendell Carter Jr.",1610612753,"ORL","Orlando Magic",6,"Spotup",208,0.258,41.9,1.13,75.7,57,235,84,184,0.457,0.598,0.048,0.053,0.005,0.067
"2022-23",1629021,"Moritz Wagner",1610612753,"ORL","Orlando Magic",6,"Spotup",153,0.283,49.8,1.09,67.3,57,167,57,140,0.407,0.521,0.085,0.092,0.039,0.033
"2022-23",1629048,"Goga Bitadze",1610612753,"ORL","Orlando Magic",6,"Spotup",10,0.11,9.2,0.5,1.4,17,5,2,10,0.2,0.25,0,0,0,0
"2022-23",1629626,"Bol Bol",1610612753,"ORL","Orlando Magic",6,"Spotup",174,0.273,47.1,0.81,12.3,70,141,51,133,0.383,0.447,0.069,0.075,0.011,0.172
"2022-23",1629643,"Chuma Okeke",1610612753,"ORL","Orlando Magic",6,"Spotup",66,0.446,89,1.02,50.1,28,67,23,59,0.39,0.559,0.03,0.015,0.015,0.091
"2022-23",1629678,"Admiral Schofield",1610612753,"ORL","Orlando Magic",6,"Spotup",60,0.408,81.6,1.02,50.5,38,61,20,55,0.364,0.5,0.067,0.067,0.033,0.05
"2022-23",1630175,"Cole Anthony",1610612753,"ORL","Orlando Magic",6,"Spotup",140,0.183,23.7,1.01,48.3,60,141,48,131,0.366,0.504,0.043,0.043,0.021,0.043
"2022-23",1630181,"R.J. Hampton",1610612753,"ORL","Orlando Magic",6,"Spotup",50,0.333,64.7,0.88,21.1,26,44,13,42,0.31,0.44,0.08,0.08,0.02,0.1
"2022-23",1630284,"Kevon Harris",1610612753,"ORL","Orlando Magic",6,"Spotup",43,0.299,54.4,1.12,72,34,48,16,37,0.432,0.622,0.07,0.07,0.047,0.116
"2022-23",1630532,"Franz Wagner",1610612753,"ORL","Orlando Magic",6,"Spotup",246,0.173,21.5,1.07,61.8,80,262,96,217,0.442,0.548,0.073,0.073,0.02,0.065
"2022-23",1630591,"Jalen Suggs",1610612753,"ORL","Orlando Magic",6,"Spotup",133,0.225,33.1,0.83,16.4,53,111,39,120,0.325,0.433,0.045,0.038,0,0.053
"2022-23",1631094,"Paolo Banchero",1610612753,"ORL","Orlando Magic",6,"Spotup",230,0.148,15.8,0.87,19.6,72,199,68,202,0.337,0.443,0.061,0.061,0.009,0.07
"2022-23",1631216,"Caleb Houstan",1610612753,"ORL","Orlando Magic",6,"Spotup",112,0.538,98.5,1.07,62.9,51,120,40,106,0.377,0.547,0.018,0.018,0.009,0.045
